"Age","Sex","Country","2020"
"All ages","Both sexes","UNECE-56",..
"All ages","Both sexes","European Union-27",447263702
"All ages","Both sexes","Euro area-20",342485255
"All ages","Both sexes","Eurasian Economic Union (EAEU)",..
"All ages","Both sexes","EECCA",..
"All ages","Both sexes","CIS-11",..
"All ages","Both sexes","North America-2",369508246
"All ages","Both sexes","Western Balkans-6",19951042
"All ages","Both sexes","Albania",2837849
"All ages","Both sexes","Andorra",..
"All ages","Both sexes","Armenia",2961473
"All ages","Both sexes","Austria",8916864
"All ages","Both sexes","Azerbaijan",10000064
"All ages","Both sexes","Belarus",9379952
"All ages","Both sexes","Belgium",11538603
"All ages","Both sexes","Bosnia and Herzegovina",3472970
"All ages","Both sexes","Bulgaria",6934015
"All ages","Both sexes","Canada",38007166
"All ages","Both sexes","Croatia",4047260
"All ages","Both sexes","Cyprus",892006
"All ages","Both sexes","Czechia",10697858
"All ages","Both sexes","Denmark",5831404
"All ages","Both sexes","Estonia",1329522
"All ages","Both sexes","Finland",5529542
"All ages","Both sexes","France",67488449
"All ages","Both sexes","Georgia",3722715
"All ages","Both sexes","Germany",83160871
"All ages","Both sexes","Greece",10698598
"All ages","Both sexes","Hungary",9750149
"All ages","Both sexes","Iceland",366463
"All ages","Both sexes","Ireland",4985382
"All ages","Both sexes","Israel",9215117
"All ages","Both sexes","Italy",59438850
"All ages","Both sexes","Kazakhstan",..
"All ages","Both sexes","Kyrgyzstan",6580166
"All ages","Both sexes","Latvia",1900449
"All ages","Both sexes","Liechtenstein",38901
"All ages","Both sexes","Lithuania",2794885
"All ages","Both sexes","Luxembourg",630419
"All ages","Both sexes","Malta",515332
"All ages","Both sexes","Monaco",..
"All ages","Both sexes","Montenegro",621306
"All ages","Both sexes","Netherlands",17441500
"All ages","Both sexes","North Macedonia",2072531
"All ages","Both sexes","Norway",5379474
"All ages","Both sexes","Poland",37899069
"All ages","Both sexes","Portugal",10297080
"All ages","Both sexes","Republic of Moldova",2635130
"All ages","Both sexes","Romania",19265250
"All ages","Both sexes","Russian Federation",..
"All ages","Both sexes","San Marino",34760
"All ages","Both sexes","Serbia",6899126
"All ages","Both sexes","Slovakia",5458827
"All ages","Both sexes","Slovenia",2102419
"All ages","Both sexes","Spain",47365654
"All ages","Both sexes","Sweden",10353442
"All ages","Both sexes","Switzerland",8638166
"All ages","Both sexes","Tajikistan",..
"All ages","Both sexes","Turkiye",83384679
"All ages","Both sexes","Turkmenistan",..
"All ages","Both sexes","Ukraine",41575748
"All ages","Both sexes","United Kingdom",..
"All ages","Both sexes","United States",331501080
"All ages","Both sexes","Uzbekistan",34232067
"All ages","Female","UNECE-56",..
"All ages","Female","European Union-27",228718487
"All ages","Female","Euro area-20",175088629
"All ages","Female","Eurasian Economic Union (EAEU)",..
"All ages","Female","EECCA",..
"All ages","Female","CIS-11",..
"All ages","Female","North America-2",186407593
"All ages","Female","Western Balkans-6",10157634
"All ages","Female","Albania",1422551
"All ages","Female","Andorra",..
"All ages","Female","Armenia",1563917
"All ages","Female","Austria",4529002
"All ages","Female","Azerbaijan",5026502
"All ages","Female","Belarus",5044162
"All ages","Female","Belgium",5847754
"All ages","Female","Bosnia and Herzegovina",1768133
"All ages","Female","Bulgaria",3574334
"All ages","Female","Canada",19121390
"All ages","Female","Croatia",2078970
"All ages","Female","Cyprus",455945
"All ages","Female","Czechia",5424308
"All ages","Female","Denmark",2930516
"All ages","Female","Estonia",699426
"All ages","Female","Finland",2798507
"All ages","Female","France",34863442
"All ages","Female","Georgia",1929464
"All ages","Female","Germany",42128805
"All ages","Female","Greece",5492830
"All ages","Female","Hungary",5077857
"All ages","Female","Iceland",178471
"All ages","Female","Ireland",2517652
"All ages","Female","Israel",4575579
"All ages","Female","Italy",30480689
"All ages","Female","Kazakhstan",..
"All ages","Female","Kyrgyzstan",3314296
"All ages","Female","Latvia",1022358
"All ages","Female","Liechtenstein",19609
"All ages","Female","Lithuania",1485909
"All ages","Female","Luxembourg",313209
"All ages","Female","Malta",248981
"All ages","Female","Monaco",..
"All ages","Female","Montenegro",314096
"All ages","Female","Netherlands",8774216
"All ages","Female","North Macedonia",1035064
"All ages","Female","Norway",2666564
"All ages","Female","Poland",19558635
"All ages","Female","Portugal",5437717
"All ages","Female","Republic of Moldova",1377433
"All ages","Female","Romania",9841124
"All ages","Female","Russian Federation",..
"All ages","Female","San Marino",17792
"All ages","Female","Serbia",3538820
"All ages","Female","Slovakia",2792909
"All ages","Female","Slovenia",1046917
"All ages","Female","Spain",24152357
"All ages","Female","Sweden",5144111
"All ages","Female","Switzerland",4352435
"All ages","Female","Tajikistan",..
"All ages","Female","Turkiye",41566119
"All ages","Female","Turkmenistan",..
"All ages","Female","Ukraine",22306340
"All ages","Female","United Kingdom",..
"All ages","Female","United States",167286203
"All ages","Female","Uzbekistan",17020216
"All ages","Male","UNECE-56",..
"All ages","Male","European Union-27",218545215
"All ages","Male","Euro area-20",167396625
"All ages","Male","Eurasian Economic Union (EAEU)",..
"All ages","Male","EECCA",..
"All ages","Male","CIS-11",..
"All ages","Male","North America-2",183100653
"All ages","Male","Western Balkans-6",9793408
"All ages","Male","Albania",1415298
"All ages","Male","Andorra",..
"All ages","Male","Armenia",1397556
"All ages","Male","Austria",4387862
"All ages","Male","Azerbaijan",4973562
"All ages","Male","Belarus",4335790
"All ages","Male","Belgium",5690849
"All ages","Male","Bosnia and Herzegovina",1704837
"All ages","Male","Bulgaria",3359680
"All ages","Male","Canada",18885776
"All ages","Male","Croatia",1968290
"All ages","Male","Cyprus",436060
"All ages","Male","Czechia",5273549
"All ages","Male","Denmark",2900887
"All ages","Male","Estonia",630096
"All ages","Male","Finland",2731035
"All ages","Male","France",32625006
"All ages","Male","Georgia",1793251
"All ages","Male","Germany",41032066
"All ages","Male","Greece",5205768
"All ages","Male","Hungary",4672292
"All ages","Male","Iceland",187992
"All ages","Male","Ireland",2467730
"All ages","Male","Israel",4639538
"All ages","Male","Italy",28958161
"All ages","Male","Kazakhstan",..
"All ages","Male","Kyrgyzstan",3265870
"All ages","Male","Latvia",878090
"All ages","Male","Liechtenstein",19291
"All ages","Male","Lithuania",1308976
"All ages","Male","Luxembourg",317210
"All ages","Male","Malta",266350
"All ages","Male","Monaco",..
"All ages","Male","Montenegro",307210
"All ages","Male","Netherlands",8667283
"All ages","Male","North Macedonia",1037467
"All ages","Male","Norway",2712910
"All ages","Male","Poland",18340434
"All ages","Male","Portugal",4859363
"All ages","Male","Republic of Moldova",1257698
"All ages","Male","Romania",9424125
"All ages","Male","Russian Federation",..
"All ages","Male","San Marino",16967
"All ages","Male","Serbia",3360306
"All ages","Male","Slovakia",2665918
"All ages","Male","Slovenia",1055502
"All ages","Male","Spain",23213297
"All ages","Male","Sweden",5209330
"All ages","Male","Switzerland",4285731
"All ages","Male","Tajikistan",..
"All ages","Male","Turkiye",41818560
"All ages","Male","Turkmenistan",..
"All ages","Male","Ukraine",19269408
"All ages","Male","United Kingdom",..
"All ages","Male","United States",164214877
"All ages","Male","Uzbekistan",17211851
"0 - 4","Both sexes","UNECE-56",..
"0 - 4","Both sexes","European Union-27",..
"0 - 4","Both sexes","Euro area-20",..
